08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@729,50%@2201,0%@2201,0%@729,54%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 71% cpu@55.187C soc2@52.062C soc0@51.906C gpu@51.312C tj@55.406C soc1@51.718C VDD_GPU_SOC 6764mW/5414mW VDD_CPU_CV 4377mW/2544mW VIN_SYS_5V0 8025mW/6020mW
08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@2201,0%@2201,37%@2201,0%@2201,0%@729,18%@729,0%@729,46%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.062C soc2@52.25C soc0@51.875C gpu@51.687C tj@55.312C soc1@51.75C VDD_GPU_SOC 6764mW/5450mW VDD_CPU_CV 4377mW/2594mW VIN_SYS_5V0 8025mW/6074mW
08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,25%@729,38%@729,0%@729,0%@729,0%@729,0%@729,44%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.062C soc2@52.093C soc0@52C gpu@51.375C tj@55.375C soc1@51.843C VDD_GPU_SOC 6764mW/5485mW VDD_CPU_CV 4377mW/2641mW VIN_SYS_5V0 8025mW/6125mW
08-20-2026 21:14:40 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@729,50%@729,0%@729,0%@729,0%@729,8%@729,50%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.25C soc2@52.187C soc0@51.843C gpu@51.687C tj@55.406C soc1@51.781C VDD_GPU_SOC 6764mW/5518mW VDD_CPU_CV 4377mW/2685mW VIN_SYS_5V0 8025mW/6174mW
08-20-2026 21:14:40 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [25%@729,0%@729,33%@729,0%@729,0%@729,0%@729,0%@729,45%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 71% cpu@55.406C soc2@52.218C soc0@51.875C gpu@51.625C tj@55.406C soc1@51.781C VDD_GPU_SOC 6764mW/5549mW VDD_CPU_CV 4775mW/2738mW VIN_SYS_5V0 8025mW/6220mW
08-20-2026 21:14:40 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,0%@729,50%@2201,0%@2201,0%@729,0%@729,0%@729,44%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.187C soc2@52.125C soc0@51.781C gpu@51.437C tj@55.437C soc1@51.875C VDD_GPU_SOC 7162mW/5588mW VDD_CPU_CV 4775mW/2787mW VIN_SYS_5V0 8125mW/6267mW
08-20-2026 21:14:40 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@2201,0%@2201,50%@2201,0%@2201,0%@729,0%@729,0%@729,37%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.187C soc2@52.156C soc0@51.781C gpu@51.437C tj@55.343C soc1@51.812C VDD_GPU_SOC 7162mW/5626mW VDD_CPU_CV 4775mW/2835mW VIN_SYS_5V0 8125mW/6311mW
08-20-2026 21:14:40 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,50%@2201,0%@2201,0%@729,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 71% cpu@55.062C soc2@52.093C soc0@51.875C gpu@51.406C tj@55.343C soc1@51.812C VDD_GPU_SOC 7162mW/5661mW VDD_CPU_CV 4775mW/2880mW VIN_SYS_5V0 8125mW/6353mW
08-20-2026 21:14:40 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@2201,33%@2201,0%@2201,0%@729,10%@729,0%@729,30%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.156C soc2@52.187C soc0@51.812C gpu@51.312C tj@55.375C soc1@51.906C VDD_GPU_SOC 7162mW/5695mW VDD_CPU_CV 4775mW/2923mW VIN_SYS_5V0 8125mW/6393mW
08-20-2026 21:14:40 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@729,50%@729,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.437C soc2@52.125C soc0@51.781C gpu@51.375C tj@55.437C soc1@51.812C VDD_GPU_SOC 7162mW/5728mW VDD_CPU_CV 4775mW/2964mW VIN_SYS_5V0 8125mW/6432mW
