08-20-2026 21:13:23 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,58%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.218C soc2@50.312C soc0@49.906C gpu@49.312C tj@53.218C soc1@49.906C VDD_GPU_SOC 5183mW/4853mW VDD_CPU_CV 2791mW/1714mW VIN_SYS_5V0 6721mW/5480mW
08-20-2026 21:13:23 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,63%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.156C soc2@50.375C soc0@50.031C gpu@49.406C tj@53.125C soc1@49.812C VDD_GPU_SOC 5183mW/4862mW VDD_CPU_CV 2791mW/1742mW VIN_SYS_5V0 6721mW/5513mW
08-20-2026 21:13:24 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.031C soc2@50.375C soc0@50.187C gpu@49.656C tj@53.031C soc1@49.812C VDD_GPU_SOC 5183mW/4870mW VDD_CPU_CV 2791mW/1769mW VIN_SYS_5V0 6721mW/5544mW
08-20-2026 21:13:24 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,54%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53C soc2@50.281C soc0@49.937C gpu@49.593C tj@53.312C soc1@49.937C VDD_GPU_SOC 5183mW/4878mW VDD_CPU_CV 2791mW/1795mW VIN_SYS_5V0 6721mW/5573mW
08-20-2026 21:13:24 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@729,0%@2201,0%@2201,0%@729,9%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.343C soc2@50.375C soc0@49.968C gpu@49.781C tj@53.343C soc1@49.812C VDD_GPU_SOC 5183mW/4885mW VDD_CPU_CV 2791mW/1819mW VIN_SYS_5V0 6721mW/5601mW
08-20-2026 21:13:24 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.031C soc2@50.312C soc0@50.093C gpu@49.531C tj@53.218C soc1@49.875C VDD_GPU_SOC 5183mW/4892mW VDD_CPU_CV 2791mW/1842mW VIN_SYS_5V0 6721mW/5628mW
08-20-2026 21:13:24 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@729,0%@729,0%@2201,0%@2201,0%@729,0%@729,0%@729,44%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.125C soc2@50.343C soc0@49.906C gpu@49.468C tj@53.125C soc1@49.781C VDD_GPU_SOC 5183mW/4899mW VDD_CPU_CV 2791mW/1864mW VIN_SYS_5V0 6721mW/5653mW
08-20-2026 21:13:24 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.125C soc2@50.375C soc0@50C gpu@49.468C tj@53.093C soc1@49.812C VDD_GPU_SOC 5183mW/4906mW VDD_CPU_CV 2791mW/1885mW VIN_SYS_5V0 6721mW/5678mW
08-20-2026 21:13:24 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,54%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.093C soc2@50.312C soc0@49.937C gpu@49.406C tj@53.093C soc1@49.875C VDD_GPU_SOC 5183mW/4912mW VDD_CPU_CV 2791mW/1905mW VIN_SYS_5V0 6821mW/5703mW
08-20-2026 21:13:24 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.375C soc2@50.375C soc0@49.937C gpu@49.281C tj@53.375C soc1@49.781C VDD_GPU_SOC 5183mW/4918mW VDD_CPU_CV 2791mW/1925mW VIN_SYS_5V0 6821mW/5727mW
